,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1992,NBA,1,1,ORL,Shaquille O'Neal\onealsh01,20.115,C,us,Louisiana State University,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
2,1993,NBA,1,1,ORL,Chris Webber\webbech01,20.126,F-C,us,University of Michigan,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.490,.299,.649,84.7,.132
3,1994,NBA,1,1,MIL,Glenn Robinson\robingl01,21.175,F,us,Purdue University,1995,2005,688,36.8,20.7,6.1,2.7,1.2,0.6,.459,.480,.340,.820,39.8,.075
4,1995,NBA,1,1,GSW,Joe Smith\smithjo02,19.342,F,us,University of Maryland,1996,2011,1030,26.2,10.9,6.4,1.0,0.6,0.8,.455,.458,.238,.790,60.3,.107
5,1996,NBA,1,1,PHI,Allen Iverson\iversal01,21.025,G,us,Georgetown University,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
6,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest University,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
7,1998,NBA,1,1,LAC,Michael Olowokandi\olowomi01,23.088,C,ng,University of the Pacific,1999,2007,500,26.3,8.3,6.8,0.7,0.5,1.4,.435,.435,,.597,2.5,.009
8,1999,NBA,1,1,CHI,Elton Brand\brandel01,20.116,F,us,Duke University,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
9,2000,NBA,1,1,NJN,Kenyon Martin\martike01,22.186,F,us,University of Cincinnati,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,.483,.492,.234,.629,48.0,.100
10,2005,NBA,1,1,MIL,Andrew Bogut\bogutan01,20.217,C,au,University of Utah,2006,2018,685,28.6,9.9,8.8,2.2,0.6,1.6,.534,.536,.120,.556,50.1,.123
11,2007,NBA,1,1,POR,Greg Oden\odengr01,19.162,C,us,Ohio State University,2009,2014,105,19.3,8.0,6.2,0.5,0.4,1.2,.574,.574,,.658,7.3,.174
12,2008,NBA,1,1,CHI,Derrick Rose\rosede01,19.270,G,us,University of Memphis,2009,2018,477,34.5,19.4,3.7,5.9,0.8,0.4,.451,.479,.297,.821,34.4,.100
13,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,University of Oklahoma,2011,2018,490,35.2,21.6,9.3,4.2,1.0,0.6,.513,.524,.315,.678,64.3,.179
14,2010,NBA,1,1,WAS,John Wall\walljo01,19.296,G,us,University of Kentucky,2011,2018,516,36.0,18.9,4.4,9.2,1.7,0.7,.433,.456,.321,.790,42.3,.109
15,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke University,2012,2018,402,34.0,21.7,3.4,5.5,1.3,0.3,.458,.489,.381,.873,43.6,.153
16,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,University of Kentucky,2013,2018,355,34.5,22.6,10.2,1.8,1.3,2.3,.516,.528,.299,.787,52.6,.207
17,2013,NBA,1,1,CLE,Anthony Bennett\bennean01,20.110,F,ca,University of Nevada Las Vegas,2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,.392,.427,.261,.670,0.5,.013
18,2014,NBA,1,1,CLE,Andrew Wiggins\wiggian01,19.128,F-G,ca,University of Kansas,2015,2018,267,36.2,20.3,4.1,2.1,1.0,0.5,.450,.474,.328,.752,11.4,.057
19,2015,NBA,1,1,MIN,Karl-Anthony Towns\townska01,19.227,C-F,us,University of Kentucky,2016,2018,186,34.5,21.6,11.4,2.2,0.7,1.4,.540,.572,.361,.828,23.9,.179
20,2016,NBA,1,1,PHI,Ben Simmons\simmobe01,19.343,G-F,au,Louisiana State University,2018,2018,19,35.4,18.7,9.5,7.2,2.1,0.8,.510,.525,.000,.554,1.9,.138
21,2017,NBA,1,1,PHI,Markelle Fultz\fultzma01,19.029,G,us,University of Washington,2018,2018,4,19.0,6.0,2.3,1.8,0.5,0.3,.333,.333,,.500,-0.1,-0.082
22,1992,NBA,1,2,CHH,Alonzo Mourning\mournal01,22.142,C,us,Georgetown University,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.530,.247,.692,89.7,.166
23,1993,NBA,1,2,PHI,Shawn Bradley\bradlsh01,21.105,C,de,Brigham Young University,1994,2005,832,23.5,8.1,6.3,0.7,0.6,2.5,.457,.459,.103,.716,40.7,.100
24,1994,NBA,1,2,DAL,Jason Kidd\kiddja01,21.103,G,us,University of California,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
25,1995,NBA,1,2,LAC,Antonio McDyess\mcdyean01,20.299,F-C,us,University of Alabama,1996,2011,1015,27.6,12.0,7.5,1.3,0.8,1.1,.497,.499,.117,.670,69.8,.119
26,1996,NBA,1,2,TOR,Marcus Camby\cambyma01,22.102,C-F,us,University of Massachusetts Amherst,1997,2013,973,29.5,9.5,9.8,1.9,1.0,2.4,.466,.469,.205,.670,81.6,.137
27,1997,NBA,1,2,PHI,Keith Van Horn\vanhoke01,21.251,F,us,University of Utah,1998,2006,575,31.6,16.0,6.8,1.6,0.8,0.5,.443,.466,.361,.835,41.7,.110
28,1998,NBA,1,2,VAN,Mike Bibby\bibbymi01,20.047,G,us,University of Arizona,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,.436,.463,.379,.802,73.2,.104
29,1999,NBA,1,2,VAN,Steve Francis\francst01,22.134,G,us,University of Maryland,2000,2008,576,37.6,18.1,5.6,6.0,1.5,0.4,.429,.451,.341,.797,54.1,.120
30,2000,NBA,1,2,VAN,Stromile Swift\swiftst01,20.225,F,us,Louisiana State University,2001,2009,547,19.8,8.4,4.6,0.5,0.6,1.2,.473,.476,.074,.699,21.3,.095
31,2002,NBA,1,2,CHI,Jay Williams\willija03,20.294,G,us,Duke University,2003,2003,75,26.1,9.5,2.6,4.7,1.1,0.2,.399,.431,.322,.640,0.8,.020
32,2004,NBA,1,2,CHA,Emeka Okafor\okafoem01,21.275,C-F,us,University of Connecticut,2005,2013,590,31.7,12.3,9.9,0.9,0.7,1.7,.512,.512,.000,.584,44.3,.114
33,2005,NBA,1,2,ATL,Marvin Williams\willima02,19.014,F,us,University of North Carolina,2006,2018,881,28.8,10.6,5.3,1.3,0.8,0.5,.443,.478,.356,.808,55.3,.105
34,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,University of Texas at Austin,2007,2018,815,34.7,19.2,8.3,1.9,0.8,1.0,.487,.492,.294,.803,90.2,.153
35,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,University of Texas at Austin,2008,2018,720,37.3,27.1,7.1,3.8,1.2,1.1,.488,.525,.381,.881,122.1,.218
36,2008,NBA,1,2,MIA,Michael Beasley\beaslmi01,19.173,F,us,Kansas State University,2009,2018,524,23.3,12.4,4.7,1.2,0.6,0.5,.459,.476,.343,.756,12.9,.051
37,2009,NBA,1,2,MEM,Hasheem Thabeet\thabeha01,22.135,C,tz,University of Connecticut,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,.567,.567,,.578,4.8,.099
38,2010,NBA,1,2,PHI,Evan Turner\turneev01,21.245,G,us,Ohio State University,2011,2018,555,28.1,10.4,5.0,3.6,0.8,0.3,.430,.452,.294,.784,16.4,.050
39,2011,NBA,1,2,MIN,Derrick Williams\willide02,20.034,F,us,University of Arizona,2012,2017,426,20.8,8.9,4.0,0.7,0.5,0.3,.434,.484,.300,.710,14.1,.076
40,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,18.280,F,us,University of Kentucky,2013,2018,297,27.0,9.1,6.3,1.3,0.7,0.8,.471,.475,.200,.712,16.1,.097
41,2013,NBA,1,2,ORL,Victor Oladipo\oladivi01,21.059,G,us,Indiana University,2014,2018,312,33.2,16.3,4.4,3.7,1.5,0.5,.437,.470,.354,.800,15.5,.072
42,2014,NBA,1,2,MIL,Jabari Parker\parkeja01,19.108,F,us,Duke University,2015,2017,152,32.1,15.8,5.6,2.1,1.0,0.4,.491,.511,.341,.748,9.0,.088
43,2015,NBA,1,2,LAL,D'Angelo Russell\russeda01,19.127,G,us,Ohio State University,2016,2018,155,28.4,14.8,3.6,4.1,1.2,0.2,.413,.458,.347,.748,1.6,.018
44,2016,NBA,1,2,LAL,Brandon Ingram\ingrabr01,18.299,F,us,Duke University,2017,2018,100,29.9,10.7,4.3,2.3,0.7,0.5,.420,.456,.300,.634,0.6,.010
45,2017,NBA,1,2,LAL,Lonzo Ball\balllo01,19.243,G,us,University of California Los Angeles,2018,2018,21,33.4,9.0,7.0,7.2,1.4,0.8,.315,.362,.257,.467,0.2,.014
