Player,Class,Season,Position,School,Games,FG,2P,3P,FT,TRB,AST,STL,BLK,PTS,Picked
Doug McDermott\doug-mcdermott-1,Total,4,,Creighton,36,55,59,46,83,272,48,8,3,787,1
Keydren Clark\keydren-clark-1,MAAC,4,,Saint Peter's,29,40,44,36,86,116,125,66,6,764,0
Tyler Hansbrough\tyler-hansbrough-1,ACC,4,,North Carolina,35,53,54,33,79,304,38,45,16,718,1
J.J. Redick\jj-redick-1,ACC,4,,Duke,34,43,47,41,91,93,76,38,2,692,1
Tyler Haws\tyler-haws-1,Total,6,,Brigham Young,23,48,50,38,88,98,42,23,4,453,0
Bo McCalebb\bo-mccalebb-1,Sun Belt,5,,New Orleans,25,48,50,33,67,120,75,50,3,535,0
Stephen Curry\stephen-curry-1,Southern,3,,Davidson,34,47,53,41,87,157,129,73,9,878,1
Troy Bell\troy-bell-1,Big East,4,,Boston College,30,42,47,37,87,123,106,68,8,658,1
Henry Domercant\henry-domercant-1,OVC,4,,Eastern Illinois,30,45,48,40,85,180,59,34,16,650,0
Jimmer Fredette\jimmer-fredette-1,MWC,4,,Brigham Young,34,45,50,39,88,91,128,41,3,649,1
Andrew Goudelock\andrew-goudelock-1,Southern,4,,College of Charleston,35,46,49,41,83,116,106,32,9,642,1
Reggie Williams\reggie-williams-3,Big South,4,,Virginia Military Institute,28,50,60,30,70,205,94,43,9,639,0
Keith Van Horn\keith-van-horn-1,WAC,4,,Utah,30,52,57,40,85,268,35,21,31,635,1
Ronnie McCollum\ronnie-mccollum-1,Total,4,,Centenary (LA),28,41,46,36,86,99,29,23,1,631,0
Jaycee Carroll\jaycee-carroll-1,Total,4,,Utah State,33,51,55,46,86,170,67,30,5,630,0
Charles Jenkins\charles-jenkins-1,CAA,4,,Hofstra,32,45,48,38,81,137,122,53,17,628,1
Caleb Green\caleb-green-1,Mid-Cont,4,,Oral Roberts,32,54,54,29,75,297,65,41,10,625,0
Michael Watson\michael-watson-1,Mid-Cont,4,,Missouri-Kansas City,29,37,39,35,80,100,89,43,4,622,0
Bonzi Wells\bonzi-wells-1,MAC,4,,Ball State,29,48,52,32,68,210,96,86,23,621,1
Luke Harangody\luke-harangody-1,Big East,4,,Notre Dame,32,48,49,31,78,305,52,24,23,619,1
Eddie Benton\eddie-benton-1,NAC,4,,Vermont,26,38,40,35,83,73,114,21,0,618,0
D.J. Balentine\dj-balentine-1,MVC,4,,Evansville,34,43,46,37,79,94,118,21,6,616,0
Nick Fazekas\nick-fazekas-1,WAC,4,,Nevada,32,53,58,34,81,313,42,24,48,616,1
Stefon Jackson\stefon-jackson-1,CUSA,4,,Texas-El Paso,31,45,48,32,77,160,51,35,2,614,0
Taylor Coppenrath\taylor-coppenrath-1,AEC,4,,Vermont,28,50,52,34,76,209,42,32,20,610,0
Dallas Moore\dallas-moore-1,A-Sun,4,,North Florida,33,48,54,39,77,104,137,30,3,609,0
Mike Jones\mike-jones-8,Total,6,,Total,26,45,47,40,78,119,78,43,3,405,0
